,year,Franchise,average_rating,total_franchise_sales,franchise_launch,age
123,2009,Monster Hunter,81.0,2.5,2004,5
124,2009,Pokemon,65.33333333333333,13.48,1999,10
125,2009,Resident Evil,77.66666666666667,9.77,1996,13
126,2009,Sonic,74.0,8.1,2007,2
127,2009,Street Fighter,92.66666666666669,7.140000000000001,2000,9
128,2009,The Legend of Zelda,87.0,3.38,1998,11
129,2009,Tomb Raider,63.0,0.44,1996,13
130,2010,Assassin's Creed,74.66666666666667,6.91,2007,3
131,2010,Call of Duty,79.66666666666667,29.46,2004,6
132,2010,FIFA,79.11111111111111,15.56,2000,10
133,2010,Final Fantasy,71.25,3.67,1997,13
134,2010,God of War,89.0,5.97,2005,5
135,2010,Halo,91.0,9.88,2001,9
136,2010,Kirby,86.0,2.12,2000,10
137,2010,Mario,82.0,15.16,1996,14
138,2010,Monster Hunter,84.0,5.04,2004,6
139,2010,Pokemon,80.66666666666667,16.65,1999,11
140,2011,Assassin's Creed,79.83333333333333,9.78,2007,4
141,2011,Call of Duty,76.22222222222223,31.13,2004,7
142,2011,FIFA,79.66666666666667,13.2,2000,11
143,2011,Final Fantasy,77.5,5.680000000000001,1997,14
144,2011,Forza,91.0,4.64,2005,6
145,2011,Gears,79.5,6.36,2006,5
146,2011,God of War,84.0,0.56,2005,6
147,2011,Halo,82.0,2.44,2001,10
148,2011,Kirby,79.0,2.74,2000,11
149,2011,Mario,79.66666666666667,23.0,1996,15
150,2011,Pokemon,76.66666666666667,1.43,1999,12
151,2011,Resident Evil,73.0,0.49,1996,15
152,2011,Sonic,66.0,3.78,2007,4
153,2011,Street Fighter,83.16666666666667,1.22,2000,11
154,2011,The Elder Scrolls,94.0,19.28,2002,9
155,2011,The Legend of Zelda,90.66666666666669,8.309999999999999,1998,13
156,2011,Tomb Raider,78.0,0.94,1996,15
157,2012,Assassin's Creed,80.8,14.57,2007,5
158,2012,Call of Duty,70.8,31.41,2004,8
159,2012,Diablo,88.0,5.2,1996,16
160,2012,FIFA,76.77777777777777,18.99,2000,12
161,2012,Final Fantasy,78.66666666666667,0.61,1997,15
162,2012,Forza,80.5,2.02,2005,7
163,2012,Halo,87.0,9.76,2001,11
164,2012,Mario,75.8,21.54,1996,16
165,2012,Pokemon,73.5,10.65,1999,13
166,2012,Resident Evil,63.57142857142857,8.14,1996,16
167,2012,Sonic,63.333333333333336,1.19,2007,5
168,2012,Street Fighter,79.2,1.5699999999999998,2000,12
169,2013,Assassin's Creed,76.77777777777777,13.16,2007,6
170,2013,Call of Duty,73.11111111111111,27.38,2004,9
171,2013,Diablo,86.5,3.5,1996,17
172,2013,FIFA,86.25,17.14,2000,13
173,2013,Final Fantasy,80.5,4.8100000000000005,1997,16
174,2013,Forza,79.0,2.18,2005,8
175,2013,Gears,79.0,1.61,2006,7
176,2013,God of War,80.0,2.29,2005,8
177,2013,Grand Theft Auto,91.33333333333331,37.78,2001,12
178,2013,Mario,77.25,8.21,1996,17
179,2013,Monster Hunter,80.5,3.44,2004,9
180,2013,Pokemon,70.75,14.35,1999,14
181,2013,Resident Evil,75.0,1.31,1996,17
182,2013,Sonic,55.0,0.92,2007,6
183,2013,The Legend of Zelda,90.5,4.84,1998,15
184,2013,Tomb Raider,86.33333333333333,4.43,1996,17
185,2014,Assassin's Creed,68.5,10.35,2007,7
186,2014,Call of Duty,75.4,21.9,2004,10
187,2014,Diablo,87.66666666666667,2.38,1996,18
188,2014,FIFA,78.6,20.2,2000,14
189,2014,Final Fantasy,79.16666666666667,1.61,1997,17
190,2014,Forza,84.0,2.22,2005,9
191,2014,God of War,73.0,0.33,2005,9
192,2014,Grand Theft Auto,97.0,17.060000000000002,2001,13
193,2014,Halo,85.0,3.15,2001,13
194,2014,Kirby,73.0,1.82,2000,14
195,2014,Mario,84.33333333333333,7.44,1996,18
196,2014,Pokemon,77.75,11.82,1999,15
197,2014,The Elder Scrolls,71.0,0.9,2002,12
198,2014,Tomb Raider,85.5,2.01,1996,18
199,2015,Assassin's Creed,70.9,4.87,2007,8
200,2015,Call of Duty,75.42857142857143,25.32,2004,11
201,2015,FIFA,82.33333333333333,16.44,2000,15
202,2015,Final Fantasy,76.42857142857143,2.09,1997,18
203,2015,Forza,74.0,1.74,2005,10
204,2015,Gears,82.0,3.0,2006,9
205,2015,God of War,81.0,0.63,2005,10
206,2015,Grand Theft Auto,96.0,1.08,2001,14
207,2015,Halo,75.0,4.26,2001,14
208,2015,Kirby,73.0,0.53,2000,15
209,2015,Mario,73.0,6.46,1996,19
210,2015,Monster Hunter,86.0,3.4,2004,11
211,2015,Pokemon,64.5,1.28,1999,16
212,2015,Resident Evil,75.3125,1.1800000000000002,1996,19
213,2015,Street Fighter,71.0,0.1,2000,15
214,2015,The Elder Scrolls,75.5,2.99,2002,13
215,2015,The Legend of Zelda,81.0,3.42,1998,17
216,2015,Tomb Raider,86.0,1.7000000000000002,1996,19
217,2016,Assassin's Creed,63.5,0.21,2007,9
218,2016,Call of Duty,75.28571428571429,0.04,2004,12
219,2016,FIFA,84.33333333333333,6.909999999999999,2000,16
220,2016,Forza,88.0,0.38,2005,11
221,2016,Kirby,81.0,0.85,2000,16
222,2016,Resident Evil,70.22222222222223,0.63,1996,20
223,2016,Sonic,62.5,0.72,2007,9
224,2016,Street Fighter,75.5,0.87,2000,16
225,2016,The Legend of Zelda,86.0,0.94,1998,18
226,2016,Tomb Raider,82.33333333333333,0.1,1996,20
